fraction_minted,rmsc_price_eur
0.0,40.0
0.020833333333333332,40.006103515625
0.041666666666666664,40.05889892578125
0.0625,40.218505859375
0.08333333333333333,40.5474853515625
0.10416666666666667,41.0986328125
0.125,41.90216064453125
0.14583333333333334,42.95654296875
0.16666666666666666,44.22393798828125
0.1875,45.638427734375
0.20833333333333334,47.1209716796875
0.22916666666666666,48.59527587890625
0.25,50.0
0.2708333333333333,51.2933349609375
0.2916666666666667,52.45391845703125
0.3125,53.47503662109375
0.3333333333333333,54.361572265625
0.3541666666666667,55.12420654296875
0.375,55.77606201171875
0.3958333333333333,56.33209228515625
0.4166666666666667,56.80511474609375
0.4375,57.208251953125
0.4583333333333333,57.55218505859375
0.4791666666666667,57.8460693359375
0.5,58.09783935546875
0.5208333333333334,58.314208984375
0.5416666666666666,58.50067138671875
0.5625,58.662109375
0.5833333333333334,58.802490234375
0.6041666666666666,58.924560546875
0.625,59.0313720703125
0.6458333333333334,59.12506103515625
0.6666666666666666,59.20745849609375
0.6875,59.28009033203125
0.7083333333333334,59.344482421875
0.7291666666666666,59.40155029296875
0.75,59.4525146484375
0.7708333333333334,59.49798583984375
0.7916666666666666,59.53887939453125
0.8125,59.5751953125
0.8333333333333334,59.608154296875
0.8541666666666666,59.63775634765625
0.875,59.66461181640625
0.8958333333333334,59.68902587890625
0.9166666666666666,59.71099853515625
0.9375,59.73114013671875
0.9583333333333334,59.74945068359375
0.9791666666666666,59.7662353515625
1.0,59.781494140625
